date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:02	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Aug%202021%2007:05:02%20GMT	https://themes.muffingroup.com/robots.txt		(from )
00:05:03	113170/113170	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Aug%202021%2021:24:04%20GMT	https://themes.muffingroup.com/be/steak2/	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/index.html	(from )
00:05:04	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:%221536-5c884efa71a80-gzip%22	https://themes.muffingroup.com/be/steak2/wp-content/themes/betheme/images/favicon.ico	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/wp-content/themes/betheme/images/favicon.ico	(from https://themes.muffingroup.com/be/steak2/)
00:05:06	130932/130932	---M-Z	200	added ('OK')	text/css	etag:%224d29-5c8d0ff74d060%22	https://themes.muffingroup.com/be/steak2/wp-content/cache/minify/067aa.css	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/wp-content/cache/minify/067aa.css	(from https://themes.muffingroup.com/be/steak2/)
00:05:07	2089/2089	---MC-	200	added ('OK')	application/rss+xml	etag:%2270b1f6f86aeef448edf67f4e8cf4c688%22	https://themes.muffingroup.com/be/steak2/feed/	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/feed/index.html	(from https://themes.muffingroup.com/be/steak2/)
00:05:07	49389/49389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Jul%202021%2018:24:06%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/kiwele/Desktop/restaurant/www.google-analytics.com/analytics.js	(from https://themes.muffingroup.com/be/steak2/)
00:05:07	2016/2016	---MC-	200	added ('OK')	application/rss+xml	etag:%22e1edadbc1904a8516f57fc8c323c5717%22	https://themes.muffingroup.com/be/steak2/comments/feed/	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/comments/feed/index.html	(from https://themes.muffingroup.com/be/steak2/)
00:05:08	477187/477187	---M-Z	200	added ('OK')	text/css	etag:%22132fa-5c8d0ff79161b%22	https://themes.muffingroup.com/be/steak2/wp-content/cache/minify/2caf7.css	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/wp-content/cache/minify/2caf7.css	(from https://themes.muffingroup.com/be/steak2/)
00:05:08	150370/150370	---M--	200	added ('OK')	image/jpeg	etag:%2224b62-595039ed399ca%22	https://themes.muffingroup.com/be/steak2/wp-content/uploads/2019/10/steak2-subheader1.jpg	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/wp-content/uploads/2019/10/steak2-subheader1.jpg	(from https://themes.muffingroup.com/be/steak2/)
00:05:08	2801/2801	---M-Z	200	added ('OK')	text/css	etag:%223f0-5c901cde172bc%22	https://themes.muffingroup.com/be/steak2/wp-content/cache/minify/de1da.css	C:/Users/kiwele/Desktop/restaurant/themes.muffingroup.com/be/steak2/wp-content/cache/minify/de1da.css	(from https://themes.muffingroup.com/be/steak2/)
